,Product_name,Sale_Price,Actual_Price,Rating,No_of_Rating,Offer,Specifications
0,"APPLE iPhone SE (Red, 64 GB)","₹27,999","₹39,900",4.5,"1,41,146 Ratings & 11,244 Reviews",29% off,"64 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA13 Bionic Chip with 3rd Gen Neural Engine ProcessorWater and Dust Resistant (1 meter for Upto 30 minutes, IP67)Fast Charge CapableWireless charging (Works with Qi Chargers | Qi Chargers are Sold SeparatelyBrand Warranty of 1 Year"
1,"APPLE iPhone SE (Black, 64 GB)","₹27,999","₹39,900",4.5,"1,41,146 Ratings & 11,244 Reviews",29% off,"64 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA13 Bionic Chip with 3rd Gen Neural Engine ProcessorWater and Dust Resistant (1 meter for Upto 30 minutes, IP67)Fast Charge CapableWireless charging (Works with Qi Chargers | Qi Chargers are Sold SeparatelyBrand Warranty of 1 Year"
2,"APPLE iPhone SE (White, 64 GB)","₹27,999","₹39,900",4.5,"1,41,146 Ratings & 11,244 Reviews",29% off,"64 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA13 Bionic Chip with 3rd Gen Neural Engine ProcessorWater and Dust Resistant (1 meter for Upto 30 minutes, IP67)Fast Charge CapableWireless charging (Works with Qi Chargers | Qi Chargers are Sold SeparatelyBrand Warranty of 1 Year"
3,"APPLE iPhone 12 Mini (Black, 64 GB)","₹41,999","₹59,900",4.5,"84,015 Ratings & 6,743 Reviews",29% off,"64 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR RecordingBrand Warranty for 1 Year"
4,"APPLE iPhone 12 (Black, 64 GB)","₹52,999","₹65,900",4.7,"1,56,242 Ratings & 10,698 Reviews",19% off,"64 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR RecordingBrand Warranty for 1 Year"
5,"APPLE iPhone 12 Mini (White, 64 GB)","₹41,999","₹59,900",4.5,"84,015 Ratings & 6,743 Reviews",29% off,"64 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR RecordingBrand Warranty for 1 Year"
6,"APPLE iPhone 12 Mini (Blue, 64 GB)","₹41,999","₹59,900",4.5,"84,015 Ratings & 6,743 Reviews",29% off,"64 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR RecordingBrand Warranty for 1 Year"
7,"APPLE iPhone SE (Black, 128 GB)","₹32,999","₹44,900",4.5,"1,41,146 Ratings & 11,244 Reviews",26% off,"128 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA13 Bionic Chip with 3rd Gen Neural Engine ProcessorWater and Dust Resistant (1 meter for Upto 30 minutes, IP67)Fast Charge CapableWireless charging (Works with Qi Chargers | Qi Chargers are Sold SeparatelyBrand Warranty of 1 Year"
8,"APPLE iPhone SE (Red, 128 GB)","₹32,999","₹44,900",4.5,"1,41,146 Ratings & 11,244 Reviews",26% off,"128 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA13 Bionic Chip with 3rd Gen Neural Engine ProcessorWater and Dust Resistant (1 meter for Upto 30 minutes, IP67)Fast Charge CapableWireless charging (Works with Qi Chargers | Qi Chargers are Sold SeparatelyBrand Warranty of 1 Year"
9,"APPLE iPhone 12 (Blue, 128 GB)","₹64,999","₹70,900",4.7,"1,56,242 Ratings & 10,698 Reviews",8% off,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR RecordingBrand Warranty for 1 Year"
10,"APPLE iPhone 13 (Starlight, 128 GB)","₹74,900","₹79,900",4.7,"1,920 Ratings & 204 Reviews",6% off,128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
11,"APPLE iPhone XR (White, 128 GB)","₹39,999","₹52,900",4.6,"99,045 Ratings & 8,471 Reviews",24% off,"128 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorWater and Dust Resistant (1 meter for Upto 30 minutes, IP67)Face ID for Secure AuthenticationFast-charge CapableBrand Warranty of 1 Year"
12,"APPLE iPhone 13 (Pink, 128 GB)","₹74,900","₹79,900",4.7,"1,920 Ratings & 204 Reviews",6% off,128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
13,"APPLE iPhone 12 Mini (White, 128 GB)","₹54,999","₹64,900",4.5,"84,015 Ratings & 6,743 Reviews",15% off,"128 GB ROM13.72 cm (5.4 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR RecordingBrand Warranty for 1 Year"
14,"APPLE iPhone 13 (Midnight, 128 GB)","₹74,900","₹79,900",4.7,"1,920 Ratings & 204 Reviews",6% off,128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
15,"APPLE iPhone 13 (Blue, 128 GB)","₹74,900","₹79,900",4.7,"1,920 Ratings & 204 Reviews",6% off,128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year
